Red,Yellow,Blue,ch583,ch670,ch510,ch410,ch620,ch470,ch550,ch440
10.0,280.0,10.0,812,452,388,45,866,175,636,128
33.0,234.0,33.0,821,456,394,45,873,176,640,132
55.0,190.0,55.0,822,456,396,45,876,178,643,133
30.0,180.0,90.0,801,445,389,42,854,176,629,134
90.0,180.0,30.0,931,504,439,50,978,202,722,156
77.0,146.0,77.0,857,478,417,50,913,191,671,147
10.0,145.0,145.0,791,453,399,46,849,183,625,142
145.0,145.0,10.0,819,456,396,46,868,179,640,136
56.0,122.0,122.0,772,437,386,44,829,178,608,136
122.0,122.0,56.0,779,439,383,44,832,174,610,134
100.0,100.0,100.0,762,431,378,42,820,173,601,133
180.0,90.0,30.0,790,441,379,44,843,173,616,134
30.0,90.0,180.0,760,433,383,43,820,176,601,137
146.0,77.0,77.0,783,442,389,44,841,178,616,136
77.0,77.0,146.0,775,441,393,43,837,180,613,139
122.0,56.0,122.0,777,435,387,45,835,182,612,143
190.0,55.0,55.0,912,500,434,52,960,203,706,161
55.0,55.0,190.0,814,463,411,46,876,194,642,153
234.0,33.0,33.0,780,443,381,45,835,179,607,141
33.0,33.0,234.0,729,423,377,43,791,179,577,142
180.0,30.0,90.0,755,430,383,45,813,180,597,143
90.0,30.0,180.0,736,422,382,43,797,180,587,145
145.0,10.0,145.0,742,426,382,42,803,179,590,145
10.0,10.0,280.0,728,422,383,44,789,182,580,148
280.0,10.0,10.0,790,438,388,45,843,183,618,145
100.0,100.0,100.0,786,443,395,45,842,186,622,146
