,mae_train,rmse_train,r2_train,mae_test,rmse_test,r2_test
RBF,0.09326275700870776,0.2670733787127703,0.9286547904550216,0.781759893249935,0.9467729083640577,0.0225430933757685
RBF_WK,0.765611522188272,0.9158753101643488,0.16095862370462072,0.7277221213482912,0.8786498325561338,0.1579222773701724
RBF_MT,0.09327062283484615,0.26707337907437967,0.9286547902615117,0.973702527324698,1.2277052483559432,-0.6433745294961434
RBF_RQ,0.09326994855446924,0.26707337899751626,0.92865479030245,0.7809699584946418,0.9500251261755391,0.015728735963386586
RBF_CK,0.09330019114164464,0.26707338471782527,0.9286547872525674,0.7810441779469712,0.9501376022109747,0.015496630026280711
RBF_WK2,0.7629745953180751,0.9144951439889144,0.16346989132493797,0.7260227054935736,0.8752242561747907,0.1644077334205452
MOR,0.09326275106607834,0.26707337871219416,0.9286547904553294,0.7796471001892453,0.9457369656244863,0.024591896729510704
MOR_WK,0.7648979355032731,0.9153434147750374,0.16175283601113527,0.7278514979524525,0.8798887628693591,0.15481788795962448
GPyTorch,0.21275795780187362,0.33106666670720364,0.8891932839516188,0.7718671194566373,0.9503404621008411,0.015825193275693622
GPyTorch_mod,0.21275795780187362,0.33106666670720364,0.8891932839516188,0.7718671194566373,0.9503404621008411,0.015825193275693622
GPyTorch_mod2,0.21241329111553847,0.33062642817007437,0.8895012614627041,0.7698936043357736,0.9429880295282131,0.030857460314580115
