Command,Sensor Data,Experiment ID,timestamp
"{'R': 11.524150102065915, 'Y': 150.5678645732823, 'B': 127.83663065666389, 'well': 'D4'}","{'ch583': 4087, 'ch670': 5053, 'ch510': 2574, 'ch410': 348, 'ch620': 6127, 'ch470': 1539, 'ch550': 3348, 'ch440': 1148}",f69dbab0,2025-02-21 02:28:45.967
"{'R': 40.72616030458796, 'Y': 162.43978763951588, 'B': 78.09252770319863, 'well': 'D5'}","{'ch583': 4423, 'ch670': 5386, 'ch510': 2654, 'ch410': 368, 'ch620': 6601, 'ch470': 1597, 'ch550': 3566, 'ch440': 1190}",b91dd8ae,2025-02-21 02:30:47.786
"{'R': 150.22789461741544, 'Y': 75.05702342723755, 'B': 59.351963681670576, 'well': 'D6'}","{'ch583': 4494, 'ch670': 5488, 'ch510': 2438, 'ch410': 372, 'ch620': 6751, 'ch470': 1557, 'ch550': 3444, 'ch440': 1217}",8ae8b0a7,2025-02-21 02:32:49.374
"{'R': 208.8216015478949, 'Y': 20.800371382393514, 'B': 23.413566108217445, 'well': 'D7'}","{'ch583': 4673, 'ch670': 5656, 'ch510': 2400, 'ch410': 381, 'ch620': 7032, 'ch470': 1578, 'ch550': 3445, 'ch440': 1270}",5eefff30,2025-02-21 02:34:50.012
"{'R': 130.19633497438102, 'Y': 110.0997838464939, 'B': 28.319938351699225, 'well': 'D8'}","{'ch583': 4730, 'ch670': 5699, 'ch510': 2497, 'ch410': 388, 'ch620': 7083, 'ch470': 1622, 'ch550': 3554, 'ch440': 1262}",c7aa82f4,2025-02-21 02:36:50.528
"{'R': 58.41024449016966, 'Y': 84.55950478791733, 'B': 120.08716999365286, 'well': 'D9'}","{'ch583': 4474, 'ch670': 5474, 'ch510': 2690, 'ch410': 387, 'ch620': 6661, 'ch470': 1735, 'ch550': 3638, 'ch440': 1355}",97dc5e2f,2025-02-21 02:38:50.543
"{'R': 45.80863465627051, 'Y': 82.87025270106979, 'B': 30.146784215088893, 'well': 'D10'}","{'ch583': 5055, 'ch670': 5878, 'ch510': 2932, 'ch410': 424, 'ch620': 7360, 'ch470': 1888, 'ch550': 4053, 'ch440': 1488}",920bc51b,2025-02-21 02:40:47.896
"{'R': 11.33693848597284, 'Y': 187.0194539447124, 'B': 90.25622050492996, 'well': 'D11'}","{'ch583': 5194, 'ch670': 6033, 'ch510': 3268, 'ch410': 436, 'ch620': 7485, 'ch470': 1989, 'ch550': 4371, 'ch440': 1492}",0a8623ac,2025-02-21 02:42:47.854
"{'R': 133.3810099805321, 'Y': 19.995003978937447, 'B': 93.30892839449572, 'well': 'D12'}","{'ch583': 5788, 'ch670': 6512, 'ch510': 3270, 'ch410': 483, 'ch620': 8207, 'ch470': 2159, 'ch550': 4673, 'ch440': 1767}",40a464c0,2025-02-21 02:44:46.499
"{'R': 126.13708678651416, 'Y': 77.45976626993634, 'B': 65.31237979236916, 'well': 'E1'}","{'ch583': 4041, 'ch670': 4711, 'ch510': 2353, 'ch410': 338, 'ch620': 5816, 'ch470': 1526, 'ch550': 3228, 'ch440': 1248}",09ee8233,2025-02-21 02:46:49.458
"{'R': 106.49966014644536, 'Y': 171.8073771601597, 'B': 17.15442795428776, 'well': 'E2'}","{'ch583': 4033, 'ch670': 4729, 'ch510': 2143, 'ch410': 320, 'ch620': 5903, 'ch470': 1347, 'ch550': 3032, 'ch440': 1031}",897b435d,2025-02-21 02:48:52.639
"{'R': 102.82898376389076, 'Y': 74.68202307867553, 'B': 113.59552144826934, 'well': 'E3'}","{'ch583': 3690, 'ch670': 4567, 'ch510': 2066, 'ch410': 311, 'ch620': 5532, 'ch470': 1325, 'ch550': 2871, 'ch440': 1043}",e63f860a,2025-02-21 02:50:55.342
"{'R': 109.87383630654448, 'Y': 24.36605078296229, 'B': 130.73075742324158, 'well': 'E4'}","{'ch583': 3713, 'ch670': 4648, 'ch510': 2118, 'ch410': 322, 'ch620': 5604, 'ch470': 1386, 'ch550': 2930, 'ch440': 1143}",28dc8970,2025-02-21 02:52:57.518
"{'R': 132.8497365760657, 'Y': 112.1766234652566, 'B': 52.86802935225936, 'well': 'E5'}","{'ch583': 4095, 'ch670': 5070, 'ch510': 2170, 'ch410': 337, 'ch620': 6204, 'ch470': 1404, 'ch550': 3085, 'ch440': 1092}",e5391bd1,2025-02-21 02:54:59.953
"{'R': 37.48496720042689, 'Y': 46.45154489451894, 'B': 167.97978923470473, 'well': 'E6'}","{'ch583': 3917, 'ch670': 4925, 'ch510': 2342, 'ch410': 345, 'ch620': 5912, 'ch470': 1528, 'ch550': 3143, 'ch440': 1231}",3d9e959a,2025-02-21 02:57:00.877
"{'R': 67.18883857023837, 'Y': 98.775262674074, 'B': 134.03589875568764, 'well': 'E7'}","{'ch583': 3923, 'ch670': 4927, 'ch510': 2338, 'ch410': 343, 'ch620': 5923, 'ch470': 1507, 'ch550': 3156, 'ch440': 1178}",414ec7d2,2025-02-21 02:59:02.584
"{'R': 67.62322057123099, 'Y': 134.95292573037491, 'B': 81.49004316386164, 'well': 'E8'}","{'ch583': 4133, 'ch670': 5077, 'ch510': 2410, 'ch410': 350, 'ch620': 6199, 'ch470': 1523, 'ch550': 3307, 'ch440': 1161}",ef15efad,2025-02-21 03:01:03.438
"{'R': 107.91788891536788, 'Y': 28.11829420233728, 'B': 158.52584565913094, 'well': 'E9'}","{'ch583': 4042, 'ch670': 4989, 'ch510': 2374, 'ch410': 354, 'ch620': 6025, 'ch470': 1564, 'ch550': 3284, 'ch440': 1267}",1f179871,2025-02-21 03:03:04.508
"{'R': 16.881788318017087, 'Y': 83.05456442024416, 'B': 183.5798913416144, 'well': 'E10'}","{'ch583': 4214, 'ch670': 5100, 'ch510': 2791, 'ch410': 377, 'ch620': 6189, 'ch470': 1774, 'ch550': 3606, 'ch440': 1376}",f06c542a,2025-02-21 03:05:04.476
"{'R': 10.0, 'Y': 10.0, 'B': 280.0, 'well': 'E11'}","{'ch583': 4429, 'ch670': 5251, 'ch510': 3020, 'ch410': 412, 'ch620': 6361, 'ch470': 2033, 'ch550': 3829, 'ch440': 1709}",18d8cb4f,2025-02-21 03:07:04.744
"{'R': 10.0, 'Y': 280.0, 'B': 10.0, 'well': 'E12'}","{'ch583': 5946, 'ch670': 6363, 'ch510': 3619, 'ch410': 473, 'ch620': 8200, 'ch470': 2122, 'ch550': 5019, 'ch440': 1565}",6ad728b6,2025-02-21 03:09:04.518
"{'R': 280.0, 'Y': 10.0, 'B': 10.0, 'well': 'F1'}","{'ch583': 4188, 'ch670': 4765, 'ch510': 2008, 'ch410': 321, 'ch620': 6080, 'ch470': 1329, 'ch550': 2949, 'ch440': 1084}",83dd6d29,2025-02-21 03:11:08.092
