cell,ecorr,epit,pH_measured,pH_target,Cl,vol_phosphoricAcid,vol_aceticAcid,vol_boricAcid,vol_sodiumHydroxide,vol_water,data_id
1,-0.2871951460838318,0.6106051802635193,12.49,,,3.846153846153846,3.846153846153846,3.846153846153846,38.46153846153846,10.0,20260310_001
2,-0.4574594795703888,1.2782034873962402,6.46,,,11.11111111111111,11.11111111111111,11.11111111111111,16.666666666666664,10.0,20260310_002
3,-0.2582540512084961,0.7761409282684326,11.9,,,7.9948506756645425,7.9948506756645425,7.9948506756645425,26.015447973006374,10.0,20260310_003
4,-0.1360008865594864,1.0363093614578247,9.03,,,9.522700167868924,9.522700167868924,9.522700167868924,21.43189949639323,10.0,20260310_004
6,-0.37675467133522034,0.3183092176914215,3.13,,,13.85135135135135,13.85135135135135,13.85135135135135,8.445945945945946,10.0,20260310_006
7,0.2082558572292328,1.5818417072296143,2.78,,,14.215686274509803,14.215686274509803,14.215686274509803,7.352941176470589,10.0,20260310_007
8,0.09311489015817642,1.4986591339111328,2.38,,,15.016501650165019,15.016501650165019,15.016501650165019,4.9504950495049505,9.999999999999993,20260310_008
1,-0.22071473300457,0.9988552331924438,9.43,,,9.258271473233467,9.258271473233467,9.258271473233467,22.22518558029959,10.000000000000007,20260310_009
3,-0.10023041814565659,1.2732715606689453,5.92,,,11.500309981401116,11.500309981401116,11.500309981401116,15.499070055796652,10.0,20260310_011
4,-0.044277291744947433,1.3625128269195557,4.65,,,12.531222602683076,12.531222602683076,12.531222602683076,12.406332191950773,10.0,20260310_012
5,-0.21682968735694885,1.4066264629364014,6.98,,,10.757004970214595,10.757004970214595,10.757004970214595,17.72898508935621,10.0,20260310_013
6,-0.24590378999710083,1.1950005292892456,6.91,,,10.720244050983853,10.720244050983853,10.720244050983853,17.839267847048443,10.0,20260310_014
7,-0.0898684710264206,1.2836942672729492,6.91,,,10.74480205550479,10.74480205550479,10.74480205550479,17.76559383348563,10.0,20260310_015
8,-0.23109319806098938,1.19143545627594,6.91,,,10.732548450541264,10.732548450541264,10.732548450541264,17.802354648376202,10.000000000000007,20260310_016
5,-0.30567267537117004,0.9494172930717468,10.46,,,8.916821104426553,8.916821104426553,8.916821104426553,23.249536686720333,10.000000000000007,20260310_017
6,-0.234504833817482,1.0707910060882568,8.75,,,9.745609828651505,9.745609828651505,9.745609828651505,20.763170514045477,10.000000000000007,20260310_018
7,-0.09580685198307037,1.2777804136276245,7.26,,,10.516698913346085,10.516698913346085,10.516698913346085,18.449903259961747,10.0,20260310_019
8,-0.1284043788909912,1.2941670417785645,5.84,,,11.562118324306518,11.562118324306518,11.562118324306518,15.31364502708045,10.0,20260310_020
1,-0.31184348464012146,0.7213992476463318,12.09,,,7.608695652173914,7.608695652173914,7.608695652173914,27.173913043478258,10.0,20260310_021
3,-0.29185447096824646,0.6577591896057129,12.41,,,1.8849840255591055,8.083067092651758,8.083067092651758,31.948881789137378,10.0,20260310_023
4,-0.2997840344905853,0.7385615706443787,12.14,,,7.142857142857142,7.6923076923076925,7.6923076923076925,27.47252747252747,10.0,20260310_024
5,-0.09399942308664322,1.313879132270813,5.43,,,11.909519052376194,11.909519052376194,11.909519052376194,14.271442842871416,10.0,20260310_025
6,-0.15563605725765228,1.2174303531646729,6.56,,,11.042875781706933,11.042875781706933,11.042875781706933,16.871372654879202,10.0,20260310_026
7,-0.13029775023460388,1.2263400554656982,8.22,,,10.105245200320198,10.105245200320198,10.105245200320198,19.684264399039407,10.0,20260310_027
8,-0.24194124341011047,0.9774065017700195,9.86,,,9.118015610610385,9.118015610610385,9.118015610610385,22.645953168168848,10.0,20260310_028
1,-0.15024086833000183,1.3064463138580322,5.26,,,11.904761904761905,11.904761904761905,11.904761904761905,14.285714285714285,10.0,20260310_029
3,-0.3078850507736206,1.2184056043624878,12.46,,,3.846153846153846,3.846153846153846,3.846153846153846,38.46153846153846,10.0,20260310_031
4,-0.20122945308685303,1.188852071762085,7.17,,,10.583941605839415,10.583941605839415,10.583941605839415,18.248175182481756,10.0,20260310_032
