pool_id,prediction,std,score
675,-80952.78,102666.18,102666.18
667,-80952.78,102666.164,102666.164
611,-80952.77,102666.16,102666.16
276,-80952.7,102666.14,102666.14
678,-80952.766,102666.13,102666.13
222,-80952.734,102666.13,102666.13
582,-80952.766,102666.125,102666.125
560,-80952.77,102666.1,102666.1
761,-80952.77,102666.1,102666.1
325,-80952.77,102666.1,102666.1
652,-80952.77,102666.1,102666.1
668,-80952.77,102666.09,102666.09
655,-80952.766,102666.09,102666.09
61,-80952.7,102666.086,102666.086
706,-80952.77,102666.086,102666.086
609,-80952.77,102666.086,102666.086
36,-80952.69,102666.086,102666.086
731,-80952.766,102666.08,102666.08
412,-80952.6,102666.08,102666.08
69,-80952.64,102666.07,102666.07
